ScrapeDate,Incident,Type,State,Size,Updated,CurrentAsOf,IncidentTimeZone,IncidentType,Cause,DateOfOrigin,Location,IncidentCommander,Coordinates,Latitude,Longitude,TotalPersonnel,ContainmentPercent
2025-08-26,"Ransome Fire - MTKNF","Wildfire","Montana","473 Acres","2 hours 1 minute ago","Tue, 08/26/2025 - 09:20","Mountain Standard Time","Wildfire","Lightning","Thu, 08/21/2025 - 07:05","11 Miles northwest of Libby, MT","Kootenai Type 3 Incident Management Team
Thomas Jenkins USFS, Peter
Jacobson (t) USFS","48° 32' 24'', -115° 38' 24 ''","48° 32' 24''","-115° 38' 24 ''","68","0%"
2025-08-27,"Ransome Fire - MTKNF","Wildfire","Montana","473 Acres","16 hours 7 minutes ago","Tue, 08/26/2025 - 19:17","Mountain Standard Time","Wildfire","Lightning","Thu, 08/21/2025 - 07:05","11 Miles northwest of Libby, MT","Kootenai Type 3 Incident Management Team
Raymond Flanagan USFS, Peter
Jacobson (t) USFS","48° 32' 24'', -115° 38' 24 ''","48° 32' 24''","-115° 38' 24 ''","68","0%"
