ScrapeDate,Incident,Type,State,Size,Updated,CurrentAsOf,IncidentTimeZone,IncidentType,Cause,DateOfOrigin,Location,IncidentCommander,Coordinates,Latitude,Longitude,TotalPersonnel,ContainmentPercent
2025-09-07,"Moon Complex - ORRSF","Wildfire","Oregon","1,506 Acres","37 minutes 28 seconds ago","Sun, 09/07/2025 - 10:41","Pacific Standard Time","Wildfire","Lightning","Thu, 09/04/2025 - 16:25","10 Miles NE of Agness, OR","Trent Ingram, Incident Commander, Great Basin Team 5","42° 41' 15'', -123° 54' 55 ''","42° 41' 15''","-123° 54' 55 ''","99","0%"
2025-09-08,"Moon Complex - ORRSF","Wildfire","Oregon","2,229 Acres","11 hours 19 minutes ago","Mon, 09/08/2025 - 00:01","Pacific Standard Time","Wildfire","Lightning","Thu, 09/04/2025 - 16:25","11.5 Miles NE of Agness, OR","Trent Ingram, Incident Commander, Great Basin Team 5","42° 41' 15'', -123° 54' 55 ''","42° 41' 15''","-123° 54' 55 ''","430","0%"
2025-09-09,"Moon Complex - ORRSF","Wildfire","Oregon","3,238 Acres","11 hours 41 minutes ago","Mon, 09/08/2025 - 23:43","Pacific Standard Time","Wildfire","Lightning","Thu, 09/04/2025 - 16:25","11 Miles NE of Agness, OR","Ingram/Sanchez - Great Basin Team 5
USFS Rogue River-Siskiyou NF
Medford BLM
Coos Fire Protective Association","42° 41' 15'', -123° 54' 55 ''","42° 41' 15''","-123° 54' 55 ''","561","0%"
