ScrapeDate,Incident,Type,State,Size,Updated,CurrentAsOf,IncidentTimeZone,IncidentType,Cause,DateOfOrigin,Location,IncidentCommander,Coordinates,Latitude,Longitude,TotalPersonnel,ContainmentPercent
2025-08-10,"Horse Fire - WYBTF","Wildfire","Wyoming, United States","2,802 Acres","2 weeks 1 day ago","Fri, 07/25/2025 - 17:47","Mountain Standard Time","Wildfire","Lightning","Fri, 06/13/2025 - 10:30","Big Piney Ranger District, Sublette County WY, 2 miles west of Prospect Peak, 7 miles west of Merna, WY","","42° 54' 1'', -110° 31' 44 ''","42° 54' 1''","-110° 31' 44 ''","","100%"
2025-08-11,"Horse Fire - WYBTF","Wildfire","Wyoming, United States","2,802 Acres","2 weeks 2 days ago","Fri, 07/25/2025 - 17:47","Mountain Standard Time","Wildfire","Lightning","Fri, 06/13/2025 - 10:30","Big Piney Ranger District, Sublette County WY, 2 miles west of Prospect Peak, 7 miles west of Merna, WY","","42° 54' 1'', -110° 31' 44 ''","42° 54' 1''","-110° 31' 44 ''","","100%"
2025-08-12,"Horse Fire - WYBTF","Wildfire","Wyoming, United States","2,802 Acres","2 weeks 3 days ago","Fri, 07/25/2025 - 17:47","Mountain Standard Time","Wildfire","Lightning","Fri, 06/13/2025 - 10:30","Big Piney Ranger District, Sublette County WY, 2 miles west of Prospect Peak, 7 miles west of Merna, WY","","42° 54' 1'', -110° 31' 44 ''","42° 54' 1''","-110° 31' 44 ''","","100%"
2025-08-13,"Horse Fire - WYBTF","Wildfire","Wyoming, United States","2,802 Acres","2 weeks 4 days ago","Fri, 07/25/2025 - 17:47","Mountain Standard Time","Wildfire","Lightning","Fri, 06/13/2025 - 10:30","Big Piney Ranger District, Sublette County WY, 2 miles west of Prospect Peak, 7 miles west of Merna, WY","","42° 54' 1'', -110° 31' 44 ''","42° 54' 1''","-110° 31' 44 ''","","100%"
2025-08-14,"Horse Fire - WYBTF","Wildfire","Wyoming, United States","2,802 Acres","2 weeks 5 days ago","Fri, 07/25/2025 - 17:47","Mountain Standard Time","Wildfire","Lightning","Fri, 06/13/2025 - 10:30","Big Piney Ranger District, Sublette County WY, 2 miles west of Prospect Peak, 7 miles west of Merna, WY","","42° 54' 1'', -110° 31' 44 ''","42° 54' 1''","-110° 31' 44 ''","","100%"
2025-08-15,"Horse Fire - WYBTF","Wildfire","Wyoming, United States","2,802 Acres","2 weeks 6 days ago","Fri, 07/25/2025 - 17:47","Mountain Standard Time","Wildfire","Lightning","Fri, 06/13/2025 - 10:30","Big Piney Ranger District, Sublette County WY, 2 miles west of Prospect Peak, 7 miles west of Merna, WY","","42° 54' 1'', -110° 31' 44 ''","42° 54' 1''","-110° 31' 44 ''","","100%"
2025-08-16,"Horse Fire - WYBTF","Wildfire","Wyoming, United States","2,802 Acres","3 weeks ago","Fri, 07/25/2025 - 17:47","Mountain Standard Time","Wildfire","Lightning","Fri, 06/13/2025 - 10:30","Big Piney Ranger District, Sublette County WY, 2 miles west of Prospect Peak, 7 miles west of Merna, WY","","42° 54' 1'', -110° 31' 44 ''","42° 54' 1''","-110° 31' 44 ''","","100%"
2025-08-17,"Horse Fire - WYBTF","Wildfire","Wyoming, United States","2,802 Acres","3 weeks 1 day ago","Fri, 07/25/2025 - 17:47","Mountain Standard Time","Wildfire","Lightning","Fri, 06/13/2025 - 10:30","Big Piney Ranger District, Sublette County WY, 2 miles west of Prospect Peak, 7 miles west of Merna, WY","","42° 54' 1'', -110° 31' 44 ''","42° 54' 1''","-110° 31' 44 ''","","100%"
2025-08-18,"Horse Fire - WYBTF","Wildfire","Wyoming, United States","2,802 Acres","3 weeks 2 days ago","Fri, 07/25/2025 - 17:47","Mountain Standard Time","Wildfire","Lightning","Fri, 06/13/2025 - 10:30","Big Piney Ranger District, Sublette County WY, 2 miles west of Prospect Peak, 7 miles west of Merna, WY","","42° 54' 1'', -110° 31' 44 ''","42° 54' 1''","-110° 31' 44 ''","","100%"
2025-08-19,"Horse Fire - WYBTF","Wildfire","Wyoming, United States","2,802 Acres","3 weeks 3 days ago","Fri, 07/25/2025 - 17:47","Mountain Standard Time","Wildfire","Lightning","Fri, 06/13/2025 - 10:30","Big Piney Ranger District, Sublette County WY, 2 miles west of Prospect Peak, 7 miles west of Merna, WY","","42° 54' 1'', -110° 31' 44 ''","42° 54' 1''","-110° 31' 44 ''","","100%"
