ScrapeDate,Incident,Type,State,Size,Updated,CurrentAsOf,IncidentTimeZone,IncidentType,Cause,DateOfOrigin,Location,IncidentCommander,Coordinates,Latitude,Longitude,TotalPersonnel,ContainmentPercent
2025-10-10,"Crosby Fire - MNMNS","Wildfire","Minnesota","160 Acres","50 seconds ago","Fri, 10/10/2025 - 11:12","Central Standard Time","Wildfire","Undetermined","Wed, 10/08/2025 - 00:30","8 miles NE of Finland, Minnesota","Two Harbors Area Forestry - Minnesota Department of Natural Resources","47° 28' 48'', -91° 03' 44 ''","47° 28' 48''","-91° 03' 44 ''","27","25%"
2025-10-11,"Crosby Fire - MNMNS","Wildfire","Minnesota","260 Acres","38 seconds ago","Sat, 10/11/2025 - 10:45","Central Standard Time","Wildfire","Undetermined","Wed, 10/08/2025 - 00:30","8 miles NE of Finland, Minnesota","Two Harbors Area Forestry - Minnesota Department of Natural Resources","47° 28' 48'', -91° 03' 44 ''","47° 28' 48''","-91° 03' 44 ''","32","45%"
2025-10-12,"Crosby Fire - MNMNS","Wildfire","Minnesota","300 Acres","12 minutes 15 seconds ago","Sun, 10/12/2025 - 11:07","Central Standard Time","Wildfire","Undetermined","Wed, 10/08/2025 - 00:30","8 miles NE of Finland, Minnesota","Two Harbors Area Forestry - Minnesota Department of Natural Resources","47° 28' 48'', -91° 03' 44 ''","47° 28' 48''","-91° 03' 44 ''","32","50%"
