ScrapeDate,Incident,Type,State,Size,Updated,CurrentAsOf,IncidentTimeZone,IncidentType,Cause,DateOfOrigin,Location,IncidentCommander,Coordinates,Latitude,Longitude,TotalPersonnel,ContainmentPercent
2025-08-06,"Elk RBX Fire - COWRD","Wildfire","Colorado","8,304 Acres","40 minutes 35 seconds ago","Wed, 08/06/2025 - 10:37","Mountain Standard Time","Wildfire","Lightning","Sat, 08/02/2025 - 12:41","10 Miles SE of Meeker, Colorado","Incident Commander: Casey Cheesbrough
Rocky Mountain Complex Incident Management Team 3","39° 57' 34'', -107° 44' 43 ''","39° 57' 34''","-107° 44' 43 ''","130","0%"
2025-08-07,"Elk RBX Fire - COWRD","Wildfire","Colorado","14,250 Acres","1 hour 6 minutes ago","Thu, 08/07/2025 - 10:21","Mountain Standard Time","Wildfire","Lightning","Sat, 08/02/2025 - 12:41","10 Miles SE of Meeker, Colorado","Incident Commander: Casey Cheesbrough
Rocky Mountain Complex Incident Management Team 3","39° 57' 34'', -107° 44' 43 ''","39° 57' 34''","-107° 44' 43 ''","338","0%"
2025-08-08,"Elk RBX Fire - COWRD","Wildfire","Colorado","14,518 Acres","1 hour ago","Fri, 08/08/2025 - 10:27","Mountain Standard Time","Wildfire","Lightning","Sat, 08/02/2025 - 12:41","10 Miles SE of Meeker, Colorado","Incident Commander: Casey Cheesbrough
Rocky Mountain Complex Incident Management Team 3","39° 57' 34'', -107° 44' 43 ''","39° 57' 34''","-107° 44' 43 ''","392","0%"
2025-08-09,"Elk RBX Fire - COWRD","Wildfire","Colorado","14,502 Acres","1 hour 39 minutes ago","Sat, 08/09/2025 - 15:57","Mountain Standard Time","Wildfire","Lightning","Sat, 08/02/2025 - 12:41","10 Miles SE of Meeker, Colorado","Incident Commander: Casey Cheesbrough
Rocky Mountain Complex Incident Management Team 3","39° 57' 34'', -107° 44' 43 ''","39° 57' 34''","-107° 44' 43 ''","570","8%"
2025-08-10,"Elk RBX Fire - COWRD","Wildfire","Colorado","14,635 Acres","44 minutes 13 seconds ago","Sun, 08/10/2025 - 10:35","Mountain Standard Time","Wildfire","Lightning","Sat, 08/02/2025 - 12:41","10 Miles SE of Meeker, Colorado","Incident Commander: Casey Cheesbrough
Rocky Mountain Complex Incident Management Team 3","39° 57' 34'', -107° 44' 43 ''","39° 57' 34''","-107° 44' 43 ''","759","9%"
2025-08-11,"Elk RBX Fire - COWRD","Wildfire","Colorado","14,635 Acres","3 minutes 40 seconds ago","Mon, 08/11/2025 - 11:23","Mountain Standard Time","Wildfire","Lightning","Sat, 08/02/2025 - 12:41","10 Miles SE of Meeker, Colorado","Incident Commander: Casey Cheesbrough
Rocky Mountain Complex Incident Management Team 3","39° 57' 34'', -107° 44' 43 ''","39° 57' 34''","-107° 44' 43 ''","803","30%"
