ScrapeDate,Incident,Type,State,Size,Updated,CurrentAsOf,IncidentTimeZone,IncidentType,Cause,DateOfOrigin,Location,IncidentCommander,Coordinates,Latitude,Longitude,TotalPersonnel,ContainmentPercent
2025-07-27,"White Sage Fire - AZASD",Wildfire,Utah,"58,985 Acres","11 hours 7 minutes ago","Sat, 07/26/2025 - 10:36","Mountain Standard Time","Wildfire","Natural, Lightning","Wed, 07/09/2025 - 19:00","15 miles southeast of Fredonia, AZ","Mack McFarland, Great Basin Complex Incident Management Team 6","36° 47' 72'', -112° 22' 70 ''","36° 47' 72''","-112° 22' 70 ''","339",""
2025-07-27,"White Sage Fire - AZASD",Wildfire,Utah,"59,065 Acres","4 minutes 31 seconds ago","Sun, 07/27/2025 - 11:19","Mountain Standard Time","Wildfire","Natural, Lightning","Wed, 07/09/2025 - 19:00","15 miles southeast of Fredonia, AZ","Mack McFarland, Great Basin Complex Incident Management Team 6","36° 47' 72'', -112° 22' 70 ''","36° 47' 72''","-112° 22' 70 ''","159",""
2025-07-28,"White Sage Fire - AZASD",Wildfire,Utah,"59,070 Acres","12 minutes 49 seconds ago","Mon, 07/28/2025 - 11:15","Mountain Standard Time","Wildfire","Natural, Lightning","Wed, 07/09/2025 - 19:00","15 miles southeast of Fredonia, AZ","Micah Suwyn, Color Country Team 2.","36° 47' 72'', -112° 22' 70 ''","36° 47' 72''","-112° 22' 70 ''","137","83%"
