ScrapeDate,Incident,Type,State,Size,Updated,CurrentAsOf,IncidentTimeZone,IncidentType,Cause,DateOfOrigin,Location,IncidentCommander,Coordinates,Latitude,Longitude,TotalPersonnel,ContainmentPercent
2025-09-02,"Root Fire - CASHF","Wildfire","California","300 Acres","13 hours 6 minutes ago","Mon, 09/01/2025 - 22:18","Pacific Standard Time","Wildfire","","Mon, 09/01/2025 - 12:34","The Root Fire is west of Castella and north of Castle Creek.","Shasta-Trinity National Forest
Incident Commander Drew Graham","41° 9' 36.8'', -122° 23' 50.7 ''","41° 9' 36.8''","-122° 23' 50.7 ''","",""
2025-09-03,"Root Fire - CASHF","Wildfire","California","668 Acres","16 minutes 17 seconds ago","Wed, 09/03/2025 - 11:02","Pacific Standard Time","Wildfire","Human Caused (escaped campfire)","Mon, 09/01/2025 - 12:34","The Root Fire is west of Castella and north of Castle Creek.","Shasta-Trinity National Forest
Incident Commander Drew Graham","41° 9' 37'', -122° 23' 51 ''","41° 9' 37''","-122° 23' 51 ''","404","30%"
2025-09-04,"Root Fire - CASHF","Wildfire","California","758 Acres","11 hours 2 minutes ago","Thu, 09/04/2025 - 00:20","Pacific Standard Time","Wildfire","Human Caused (escaped campfire)","Mon, 09/01/2025 - 12:34","The Root Fire is west of Castella and north of Castle Creek.","Shasta-Trinity National Forest
Incident Commander Drew Graham","41° 9' 37'', -122° 23' 51 ''","41° 9' 37''","-122° 23' 51 ''","444","45%"
2025-09-05,"Root Fire - CASHF","Wildfire","California","739 Acres","12 hours 52 minutes ago","Thu, 09/04/2025 - 22:29","Pacific Standard Time","Wildfire","Human Caused (escaped campfire)","Mon, 09/01/2025 - 12:34","The Root Fire is west of Castella and north of Castle Creek.","Shasta-Trinity National Forest
Incident Commander Drew Graham","41° 9' 37'', -122° 23' 51 ''","41° 9' 37''","-122° 23' 51 ''","457","50%"
2025-09-06,"Root Fire - CASHF","Wildfire","California","739 Acres","7 hours 31 minutes ago","Sat, 09/06/2025 - 03:47","Pacific Standard Time","Wildfire","Human Caused (escaped campfire)","Mon, 09/01/2025 - 12:34","The Root Fire is west of Castella and north of Castle Creek.","Shasta-Trinity National Forest
Incident Commander Drew Graham","41° 9' 37'', -122° 23' 51 ''","41° 9' 37''","-122° 23' 51 ''","457","50%"
