ScrapeDate,Incident,Type,State,Size,Updated,CurrentAsOf,IncidentTimeZone,IncidentType,Cause,DateOfOrigin,Location,IncidentCommander,Coordinates,Latitude,Longitude,TotalPersonnel
2025-07-27,"Nenana Ridge Complex - AKFAS",Wildfire,Alaska,"","1 day 1 hour ago","Fri, 07/25/2025 - 19:53","Alaska Standard Time","Wildfire","Lightning","Sat, 06/21/2025 - 20:08","Southwest of Fairbanks, AK","","64° 43' 29'', -148° 36' 10 ''","64° 43' 29''","-148° 36' 10 ''",""
2025-07-27,"Nenana Ridge Complex - AKFAS",Wildfire,Alaska,"","1 day 15 hours ago","Fri, 07/25/2025 - 19:53","Alaska Standard Time","Wildfire","Lightning","Sat, 06/21/2025 - 20:08","Southwest of Fairbanks, AK","","64° 43' 29'', -148° 36' 10 ''","64° 43' 29''","-148° 36' 10 ''",""
2025-07-28,"Nenana Ridge Complex - AKFAS",Wildfire,Alaska,"","2 days 15 hours ago","Fri, 07/25/2025 - 19:53","Alaska Standard Time","Wildfire","Lightning","Sat, 06/21/2025 - 20:08","Southwest of Fairbanks, AK","","64° 43' 29'', -148° 36' 10 ''","64° 43' 29''","-148° 36' 10 ''","",""
2025-07-29,"Nenana Ridge Complex - AKFAS",Wildfire,Alaska,"","3 days 15 hours ago","Fri, 07/25/2025 - 19:53","Alaska Standard Time","Wildfire","Lightning","Sat, 06/21/2025 - 20:08","Southwest of Fairbanks, AK","","64° 43' 29'', -148° 36' 10 ''","64° 43' 29''","-148° 36' 10 ''","",""
2025-07-30,"Nenana Ridge Complex - AKFAS",Wildfire,Alaska,"","4 days 15 hours ago","Fri, 07/25/2025 - 19:53","Alaska Standard Time","Wildfire","Lightning","Sat, 06/21/2025 - 20:08","Southwest of Fairbanks, AK","","64° 43' 29'', -148° 36' 10 ''","64° 43' 29''","-148° 36' 10 ''","",""
