ScrapeDate,Incident,Type,State,Size,Updated,CurrentAsOf,IncidentTimeZone,IncidentType,Cause,DateOfOrigin,Location,IncidentCommander,Coordinates,Latitude,Longitude,TotalPersonnel,ContainmentPercent
2025-09-05,"Timber Butte - MTBDF","Wildfire","Montana","2,245 Acres","49 minutes 56 seconds ago","Fri, 09/05/2025 - 10:32","Mountain Standard Time","Wildfire","Undetermined","Wed, 09/03/2025 - 14:56","6 miles west of Dell, MT","ICT3 A. Knudsen
USDA Forest Service","44° 43' 25'', -112° 49' 45 ''","44° 43' 25''","-112° 49' 45 ''","79",""
2025-09-06,"Timber Butte - MTBDF","Wildfire","Montana","2,245 Acres","15 hours 3 minutes ago","Fri, 09/05/2025 - 20:15","Mountain Standard Time","Wildfire","Undetermined","Wed, 09/03/2025 - 14:56","6 miles west of Dell, MT","ICT3 A. Knudsen
USDA Forest Service","44° 43' 25'', -112° 49' 45 ''","44° 43' 25''","-112° 49' 45 ''","85",""
